2017-10-06 19:15:19.7523 | WARN | DataAccessLibrary.DataBuilder | Невозможно завершить операцию, поскольку класс DbContext был удален.
2017-10-06 19:15:24.7926 | WARN | DataAccessLibrary.DataBuilder | Произошла ошибка при выполнении определения команды. Дополнительные сведения приведены во внутреннем исключении.
2017-10-06 19:15:24.8676 | WARN | DataAccessLibrary.DataBuilder | Невозможно завершить операцию, поскольку класс DbContext был удален.
2017-10-06 19:15:29.6648 | WARN | DataAccessLibrary.DataBuilder | Произошла ошибка при выполнении определения команды. Дополнительные сведения приведены во внутреннем исключении.
2017-10-06 19:15:29.6948 | WARN | DataAccessLibrary.DataBuilder | Невозможно завершить операцию, поскольку класс DbContext был удален.
2017-10-06 19:15:34.7911 | WARN | DataAccessLibrary.DataBuilder | Произошла ошибка при выполнении определения команды. Дополнительные сведения приведены во внутреннем исключении.
2017-10-06 19:15:34.8111 | WARN | DataAccessLibrary.DataBuilder | Невозможно завершить операцию, поскольку класс DbContext был удален.
2017-10-06 19:15:39.7214 | WARN | DataAccessLibrary.DataBuilder | Произошла ошибка при выполнении определения команды. Дополнительные сведения приведены во внутреннем исключении.
2017-10-06 19:15:39.8504 | WARN | DataAccessLibrary.DataBuilder | Невозможно завершить операцию, поскольку класс DbContext был удален.
2017-10-06 19:15:44.8377 | WARN | DataAccessLibrary.DataBuilder | Произошла ошибка при выполнении определения команды. Дополнительные сведения приведены во внутреннем исключении.
2017-10-06 19:15:44.8567 | WARN | DataAccessLibrary.DataBuilder | Невозможно завершить операцию, поскольку класс DbContext был удален.
2017-10-06 19:15:49.7260 | WARN | DataAccessLibrary.DataBuilder | Произошла ошибка при выполнении определения команды. Дополнительные сведения приведены во внутреннем исключении.
2017-10-06 19:15:49.8960 | WARN | DataAccessLibrary.DataBuilder | Невозможно завершить операцию, поскольку класс DbContext был удален.
2017-10-06 19:15:54.8353 | WARN | DataAccessLibrary.DataBuilder | Произошла ошибка при выполнении определения команды. Дополнительные сведения приведены во внутреннем исключении.
2017-10-06 19:15:54.8593 | WARN | DataAccessLibrary.DataBuilder | Невозможно завершить операцию, поскольку класс DbContext был удален.
2017-10-06 19:15:59.7366 | WARN | DataAccessLibrary.DataBuilder | Произошла ошибка при выполнении определения команды. Дополнительные сведения приведены во внутреннем исключении.
2017-10-06 19:15:59.7706 | WARN | DataAccessLibrary.DataBuilder | Невозможно завершить операцию, поскольку класс DbContext был удален.
2017-10-06 19:16:04.7539 | WARN | DataAccessLibrary.DataBuilder | Произошла ошибка при выполнении определения команды. Дополнительные сведения приведены во внутреннем исключении.
2017-10-06 19:16:04.7719 | WARN | DataAccessLibrary.DataBuilder | Невозможно завершить операцию, поскольку класс DbContext был удален.
2017-10-06 19:16:09.7251 | WARN | DataAccessLibrary.DataBuilder | Произошла ошибка при выполнении определения команды. Дополнительные сведения приведены во внутреннем исключении.
2017-10-06 19:16:09.7911 | WARN | DataAccessLibrary.DataBuilder | Невозможно завершить операцию, поскольку класс DbContext был удален.
2017-10-06 19:16:14.7644 | WARN | DataAccessLibrary.DataBuilder | Произошла ошибка при выполнении определения команды. Дополнительные сведения приведены во внутреннем исключении.
2017-10-06 19:16:14.7874 | WARN | DataAccessLibrary.DataBuilder | Невозможно завершить операцию, поскольку класс DbContext был удален.
2017-10-06 19:16:19.7017 | WARN | DataAccessLibrary.DataBuilder | Произошла ошибка при выполнении определения команды. Дополнительные сведения приведены во внутреннем исключении.
2017-10-06 19:16:19.7787 | WARN | DataAccessLibrary.DataBuilder | Невозможно завершить операцию, поскольку класс DbContext был удален.
2017-10-06 19:16:24.8090 | WARN | DataAccessLibrary.DataBuilder | Произошла ошибка при выполнении определения команды. Дополнительные сведения приведены во внутреннем исключении.
2017-10-06 19:16:24.8380 | WARN | DataAccessLibrary.DataBuilder | Невозможно завершить операцию, поскольку класс DbContext был удален.
2017-10-06 19:16:29.7133 | WARN | DataAccessLibrary.DataBuilder | Произошла ошибка при выполнении определения команды. Дополнительные сведения приведены во внутреннем исключении.
2017-10-06 19:16:29.7363 | WARN | DataAccessLibrary.DataBuilder | Невозможно завершить операцию, поскольку класс DbContext был удален.
2017-10-06 19:16:34.6686 | WARN | DataAccessLibrary.DataBuilder | Произошла ошибка при выполнении определения команды. Дополнительные сведения приведены во внутреннем исключении.
2017-10-06 19:16:34.6866 | WARN | DataAccessLibrary.DataBuilder | Невозможно завершить операцию, поскольку класс DbContext был удален.
2017-10-06 19:16:39.7019 | WARN | DataAccessLibrary.DataBuilder | Произошла ошибка при выполнении определения команды. Дополнительные сведения приведены во внутреннем исключении.
2017-10-06 19:16:39.8209 | WARN | DataAccessLibrary.DataBuilder | Невозможно завершить операцию, поскольку класс DbContext был удален.
2017-10-06 19:17:47.9170 | INFO | safemooneyBackend.Controllers.AccountController | User <id: 1> logout
2017-10-06 19:18:18.9965 | INFO | safemooneyBackend.Controllers.AccountController | User <username: Mira> is authorized
2017-10-06 19:33:00.9980 | INFO | safemooneyBackend.WebApiApplication | Application Start
2017-10-06 19:34:20.7805 | INFO | safemooneyBackend.Controllers.AccountController | User <username: Mira> is authorized
2017-10-06 19:34:34.1173 | INFO | safemooneyBackend.Controllers.AccountController | User <username: Mira> is authorized
2017-10-06 19:34:52.9444 | INFO | safemooneyBackend.Controllers.AccountController | User <username: SergeyIS> is authorized
2017-10-06 19:35:12.4855 | INFO | safemooneyBackend.Controllers.AccountController | User <username: SergeyIS> is authorized
2017-10-06 19:35:50.8047 | INFO | safemooneyBackend.Controllers.AccountController | User <username: SergeyIS> is authorized
2017-10-06 19:37:32.2005 | INFO | safemooneyBackend.Controllers.AccountController | User <username: SergeyIS> is authorized
2017-10-06 19:41:07.7078 | INFO | safemooneyBackend.WebApiApplication | Application Start
2017-10-06 19:41:28.4990 | INFO | safemooneyBackend.Controllers.AccountController | User <username: Mira> is authorized
2017-10-06 19:42:10.4744 | INFO | safemooneyBackend.Controllers.AccountController | User <id: 2> logout
2017-10-06 19:42:17.4058 | INFO | safemooneyBackend.Controllers.AccountController | User <username: SergeyIS> is authorized
